V1	N	db
USF1	12770	ChIP-Atlas
USF2	10697	ChIP-Atlas
VEZF1	11996	ChIP-Atlas
WDR5	14385	ChIP-Atlas
XRCC3	412	ChIP-Atlas
XRCC5	10837	ChIP-Atlas
YBX1	170	ChIP-Atlas
YBX3	480	ChIP-Atlas
YY1	15326	ChIP-Atlas
ZBED1	3750	ChIP-Atlas
ZBTB11	9694	ChIP-Atlas
ZBTB12	3911	ChIP-Atlas
ZBTB2	3891	ChIP-Atlas
ZBTB33	10566	ChIP-Atlas
ZBTB40	9838	ChIP-Atlas
ZBTB5	1007	ChIP-Atlas
ZBTB7A	13765	ChIP-Atlas
ZC3H11A	408	ChIP-Atlas
ZEB2	8889	ChIP-Atlas
ZFP36	2645	ChIP-Atlas
ZFP91	12421	ChIP-Atlas
ZFX	14445	ChIP-Atlas
ZHX1	418	ChIP-Atlas
ZKSCAN1	3080	ChIP-Atlas
ZKSCAN3	56	ChIP-Atlas
ZKSCAN8	5979	ChIP-Atlas
ZMIZ1	4686	ChIP-Atlas
ZMYM3	10079	ChIP-Atlas
ZNF12	8167	ChIP-Atlas
ZNF133	303	ChIP-Atlas
ZNF134	315	ChIP-Atlas
ZNF143	13233	ChIP-Atlas
ZNF148	7228	ChIP-Atlas
ZNF165	148	ChIP-Atlas
ZNF174	246	ChIP-Atlas
ZNF175	2918	ChIP-Atlas
ZNF184	2391	ChIP-Atlas
ZNF197	3304	ChIP-Atlas
ZNF215	175	ChIP-Atlas
ZNF23	164	ChIP-Atlas
ZNF239	976	ChIP-Atlas
ZNF24	6957	ChIP-Atlas
ZNF253	35	ChIP-Atlas
ZNF257	225	ChIP-Atlas
ZNF263	11795	ChIP-Atlas
ZNF274	10657	ChIP-Atlas
ZNF280A	29	ChIP-Atlas
ZNF281	9610	ChIP-Atlas
ZNF282	2997	ChIP-Atlas
ZNF3	2483	ChIP-Atlas
ZNF311	343	ChIP-Atlas
ZNF316	5662	ChIP-Atlas
ZNF318	5361	ChIP-Atlas
ZNF319	621	ChIP-Atlas
ZNF324	3050	ChIP-Atlas
ZNF354B	467	ChIP-Atlas
ZNF384	11668	ChIP-Atlas
ZNF395	8196	ChIP-Atlas
ZNF397	83	ChIP-Atlas
ZNF407	11091	ChIP-Atlas
ZNF408	34	ChIP-Atlas
ZNF41	156	ChIP-Atlas
ZNF436	155	ChIP-Atlas
ZNF444	4716	ChIP-Atlas
ZNF445	55	ChIP-Atlas
ZNF507	825	ChIP-Atlas
ZNF512	1623	ChIP-Atlas
ZNF583	654	ChIP-Atlas
ZNF584	2828	ChIP-Atlas
ZNF589	4252	ChIP-Atlas
ZNF592	6087	ChIP-Atlas
ZNF639	9848	ChIP-Atlas
ZNF644	5096	ChIP-Atlas
ZNF696	15	ChIP-Atlas
ZNF700	39	ChIP-Atlas
ZNF740	4584	ChIP-Atlas
ZNF75A	127	ChIP-Atlas
ZNF76	7992	ChIP-Atlas
ZNF764	155	ChIP-Atlas
ZNF766	9620	ChIP-Atlas
ZNF77	41	ChIP-Atlas
ZNF79	43	ChIP-Atlas
ZNF83	8350	ChIP-Atlas
ZNF830	2097	ChIP-Atlas
ZSCAN29	6044	ChIP-Atlas
ZZZ3	5538	ChIP-Atlas
ADNP	977	DoRothEA
ADNP2	273	DoRothEA
AEBP2	734	DoRothEA
AHR	1413	DoRothEA
AHRR	21	DoRothEA
AIRE	416	DoRothEA
ALX1	764	DoRothEA
ALX3	385	DoRothEA
ALX4	432	DoRothEA
AR	1974	DoRothEA
ARID1A	1076	DoRothEA
ARID1B	788	DoRothEA
ARID2	1011	DoRothEA
ARID3A	794	DoRothEA
ARID3B	769	DoRothEA
ARID4A	525	DoRothEA
ARID4B	545	DoRothEA
ARID5A	899	DoRothEA
ARID5B	713	DoRothEA
ARNT	1447	DoRothEA
ARNT2	472	DoRothEA
ARNTL	1211	DoRothEA
ARNTL2	712	DoRothEA
ARX	402	DoRothEA
ASCL1	1237	DoRothEA
ASCL2	482	DoRothEA
ATF1	1844	DoRothEA
ATF2	1628	DoRothEA
ATF3	1368	DoRothEA
ATF4	1381	DoRothEA
ATF5	340	DoRothEA
ATF6	1882	DoRothEA
ATF6B	1094	DoRothEA
ATF7	1069	DoRothEA
ATOH1	1114	DoRothEA
ATOH8	296	DoRothEA
ATRX	741	DoRothEA
BACH1	1424	DoRothEA
BACH2	1162	DoRothEA
BARHL1	542	DoRothEA
BARHL2	590	DoRothEA
BARX1	462	DoRothEA
BARX2	491	DoRothEA
BATF	1463	DoRothEA
BATF2	241	DoRothEA
BATF3	1266	DoRothEA
BBX	757	DoRothEA
BCL11A	1174	DoRothEA
BCL11B	425	DoRothEA
BCL3	889	DoRothEA
BCL6	1391	DoRothEA
BCL6B	716	DoRothEA
BHLHA15	1025	DoRothEA
BHLHE22	1088	DoRothEA
BHLHE23	280	DoRothEA
BHLHE40	1136	DoRothEA
BHLHE41	351	DoRothEA
BNC1	258	DoRothEA
BNC2	720	DoRothEA
BSX	426	DoRothEA
CASZ1	273	DoRothEA
CDC5L	1279	DoRothEA
CDX1	911	DoRothEA
CDX2	1356	DoRothEA
CEBPA	11876	DoRothEA
CEBPB	1551	DoRothEA
CEBPD	1430	DoRothEA
CEBPE	721	DoRothEA
CEBPG	1743	DoRothEA
CIC	462	DoRothEA
CLOCK	1898	DoRothEA
CNOT4	345	DoRothEA
CREB1	1742	DoRothEA
CREB3	2153	DoRothEA
CREB3L1	1009	DoRothEA
CREB3L2	797	DoRothEA
CREB3L3	326	DoRothEA
CREB3L4	670	DoRothEA
CREB5	720	DoRothEA
CREBL2	1048	DoRothEA
CREBZF	495	DoRothEA
CREM	1457	DoRothEA
CRX	585	DoRothEA
CSRNP1	151	DoRothEA
CSRNP2	215	DoRothEA
CSRNP3	404	DoRothEA
CTCF	16796	DoRothEA
CTCFL	988	DoRothEA
CUX1	1622	DoRothEA
CUX2	468	DoRothEA
CXXC1	901	DoRothEA
DBP	1073	DoRothEA
DDIT3	183	DoRothEA
DEAF1	755	DoRothEA
DLX1	600	DoRothEA
DLX2	416	DoRothEA
DLX3	929	DoRothEA
DLX4	405	DoRothEA
DLX5	36	DoRothEA
DLX6	447	DoRothEA
DMAP1	922	DoRothEA
DMBX1	411	DoRothEA
DMRT1	326	DoRothEA
DMRT2	12	DoRothEA
DMRT3	468	DoRothEA
DMRTA1	172	DoRothEA
DMRTB1	383	DoRothEA
DMRTC2	371	DoRothEA
DMTF1	717	DoRothEA
DNAJC1	1062	DoRothEA
DNAJC2	1210	DoRothEA
DNMT1	1493	DoRothEA
DNMT3A	466	DoRothEA
DNMT3B	837	DoRothEA
DNMT3L	1	DoRothEA
DUX4	880	DoRothEA
DUXA	423	DoRothEA
E2F1	7245	DoRothEA
E2F2	1415	DoRothEA
E2F3	1636	DoRothEA
E2F4	7493	DoRothEA
E2F5	1250	DoRothEA
E2F6	1665	DoRothEA
E2F7	1398	DoRothEA
E2F8	724	DoRothEA
E4F1	819	DoRothEA
EBF1	1765	DoRothEA
EBF2	526	DoRothEA
EBF3	389	DoRothEA
EBF4	595	DoRothEA
EGR1	12158	DoRothEA
EGR2	791	DoRothEA
EGR3	463	DoRothEA
EGR4	475	DoRothEA
EHF	1214	DoRothEA
ELF1	1748	DoRothEA
ELF2	623	DoRothEA
ELF3	1617	DoRothEA
ELF4	998	DoRothEA
ELF5	1126	DoRothEA
ELK1	1292	DoRothEA
ELK3	1302	DoRothEA
ELK4	1282	DoRothEA
ELMSAN1	192	DoRothEA
EMX1	435	DoRothEA
EMX2	546	DoRothEA
EN1	476	DoRothEA
EN2	413	DoRothEA
EOMES	1098	DoRothEA
EPAS1	1497	DoRothEA
ERF	662	DoRothEA
ERG	1743	DoRothEA
ESR1	7622	DoRothEA
ESR2	1145	DoRothEA
ESRRA	2220	DoRothEA
ESRRB	592	DoRothEA
ESRRG	766	DoRothEA
ESX1	406	DoRothEA
ETS1	10514	DoRothEA
ETS2	840	DoRothEA
ETV1	1568	DoRothEA
ETV2	1027	DoRothEA
ETV3	759	DoRothEA
ETV4	1464	DoRothEA
ETV5	933	DoRothEA
ETV6	868	DoRothEA
ETV7	392	DoRothEA
EVX1	322	DoRothEA
EVX2	717	DoRothEA
FEV	758	DoRothEA
FEZF1	427	DoRothEA
FEZF2	314	DoRothEA
FIGLA	429	DoRothEA
FIZ1	733	DoRothEA
FLI1	1877	DoRothEA
FOS	9945	DoRothEA
FOSB	491	DoRothEA
FOSL1	1557	DoRothEA
FOSL2	1383	DoRothEA
FOXA1	12242	DoRothEA
FOXA2	1395	DoRothEA
FOXA3	669	DoRothEA
FOXB1	417	DoRothEA
FOXC1	1160	DoRothEA
FOXC2	783	DoRothEA
FOXD1	498	DoRothEA
FOXD2	529	DoRothEA
FOXD3	650	DoRothEA
FOXE1	165	DoRothEA
FOXF1	191	DoRothEA
FOXF2	545	DoRothEA
FOXG1	600	DoRothEA
FOXH1	511	DoRothEA
FOXI1	736	DoRothEA
FOXJ1	168	DoRothEA
FOXJ2	1485	DoRothEA
FOXJ3	1395	DoRothEA
FOXK1	1053	DoRothEA
FOXK2	1434	DoRothEA
FOXL1	659	DoRothEA
FOXL2	81	DoRothEA
FOXM1	1462	DoRothEA
FOXN1	315	DoRothEA
FOXN2	390	DoRothEA
FOXN3	738	DoRothEA
FOXN4	65	DoRothEA
FOXO1	1673	DoRothEA
FOXO3	1103	DoRothEA
FOXO4	1263	DoRothEA
FOXO6	858	DoRothEA
FOXP1	4470	DoRothEA
FOXP2	1523	DoRothEA
FOXP3	575	DoRothEA
FOXP4	308	DoRothEA
FOXQ1	723	DoRothEA
FOXS1	428	DoRothEA
GABPA	1754	DoRothEA
GATA1	1344	DoRothEA
GATA2	6873	DoRothEA
GATA3	9059	DoRothEA
GATA4	794	DoRothEA
GATA5	516	DoRothEA
GATA6	1373	DoRothEA
GATAD1	916	DoRothEA
GATAD2A	958	DoRothEA
GATAD2B	402	DoRothEA
GBX1	406	DoRothEA
GBX2	416	DoRothEA
GCM1	417	DoRothEA
GCM2	417	DoRothEA
GFI1	1076	DoRothEA
GFI1B	1053	DoRothEA
GLI1	459	DoRothEA
GLI2	1212	DoRothEA
GLI3	911	DoRothEA
GLI4	998	DoRothEA
GLIS1	488	DoRothEA
GLIS2	1113	DoRothEA
GLIS3	873	DoRothEA
GMEB1	833	DoRothEA
GMEB2	642	DoRothEA
GRHL1	610	DoRothEA
GRHL2	1735	DoRothEA
GRHL3	389	DoRothEA
GSC	408	DoRothEA
GSC2	406	DoRothEA
GSX1	414	DoRothEA
GSX2	419	DoRothEA
GTF3A	1184	DoRothEA
GZF1	207	DoRothEA
HAND1	88	DoRothEA
HAND2	409	DoRothEA
HBP1	1136	DoRothEA
HDX	285	DoRothEA
HES1	885	DoRothEA
HES2	834	DoRothEA
HES4	338	DoRothEA
HES5	284	DoRothEA
HES6	190	DoRothEA
HES7	229	DoRothEA
HESX1	371	DoRothEA
HEY1	426	DoRothEA
HEY2	533	DoRothEA
HEYL	429	DoRothEA
HHEX	682	DoRothEA
HIC1	1422	DoRothEA
HIC2	581	DoRothEA
HIF1A	2848	DoRothEA
HIF3A	509	DoRothEA
HINFP	1518	DoRothEA
HIVEP1	231	DoRothEA
HIVEP2	420	DoRothEA
HIVEP3	192	DoRothEA
HKR1	431	DoRothEA
HLF	1003	DoRothEA
HLX	352	DoRothEA
HMBOX1	1384	DoRothEA
HMG20A	530	DoRothEA
HMG20B	802	DoRothEA
HMGA1	1010	DoRothEA
HMGA2	91	DoRothEA
HMGXB3	849	DoRothEA
HMGXB4	580	DoRothEA
HMX1	406	DoRothEA
HMX2	426	DoRothEA
HMX3	416	DoRothEA
HNF1A	691	DoRothEA
HNF1B	1188	DoRothEA
HNF4A	11025	DoRothEA
HNF4G	1248	DoRothEA
HOMEZ	455	DoRothEA
HOPX	346	DoRothEA
HOXA1	169	DoRothEA
HOXA10	851	DoRothEA
HOXA11	439	DoRothEA
HOXA13	694	DoRothEA
HOXA2	379	DoRothEA
HOXA3	89	DoRothEA
HOXA4	71	DoRothEA
HOXA5	462	DoRothEA
HOXA6	31	DoRothEA
HOXA7	48	DoRothEA
HOXA9	1102	DoRothEA
HOXB1	2	DoRothEA
HOXB13	1348	DoRothEA
HOXB2	693	DoRothEA
HOXB3	633	DoRothEA
HOXB4	561	DoRothEA
HOXB5	470	DoRothEA
HOXB6	67	DoRothEA
HOXB7	677	DoRothEA
HOXB8	410	DoRothEA
HOXB9	22	DoRothEA
HOXC10	505	DoRothEA
HOXC11	549	DoRothEA
HOXC12	420	DoRothEA
HOXC13	609	DoRothEA
HOXC4	70	DoRothEA
HOXC6	51	DoRothEA
HOXC8	21	DoRothEA
HOXC9	841	DoRothEA
HOXD1	1	DoRothEA
HOXD10	22	DoRothEA
HOXD11	412	DoRothEA
HOXD12	420	DoRothEA
HOXD13	647	DoRothEA
HOXD3	436	DoRothEA
HOXD8	446	DoRothEA
HOXD9	458	DoRothEA
HSF1	1966	DoRothEA
HSF2	825	DoRothEA
HSF4	1038	DoRothEA
HSF5	56	DoRothEA
ID1	100	DoRothEA
ID2	463	DoRothEA
ID3	624	DoRothEA
ID4	651	DoRothEA
IKZF1	1507	DoRothEA
IKZF2	192	DoRothEA
IKZF3	435	DoRothEA
IKZF4	135	DoRothEA
IKZF5	453	DoRothEA
INSM1	808	DoRothEA
IRF1	1187	DoRothEA
IRF2	1433	DoRothEA
IRF3	2141	DoRothEA
IRF4	1392	DoRothEA
IRF5	1244	DoRothEA
IRF6	529	DoRothEA
IRF7	1214	DoRothEA
IRF8	1402	DoRothEA
IRF9	1489	DoRothEA
IRX1	29	DoRothEA
IRX2	93	DoRothEA
IRX3	106	DoRothEA
IRX4	219	DoRothEA
IRX5	103	DoRothEA
IRX6	117	DoRothEA
ISL1	485	DoRothEA
ISL2	410	DoRothEA
ISX	802	DoRothEA
JARID2	594	DoRothEA
JDP2	523	DoRothEA
JUN	1660	DoRothEA
JUNB	1299	DoRothEA
JUND	1376	DoRothEA
KAT5	747	DoRothEA
KAT6A	520	DoRothEA
KAT6B	454	DoRothEA
KAT7	618	DoRothEA
KAT8	572	DoRothEA
KDM2A	593	DoRothEA
KDM5A	785	DoRothEA
KDM5B	958	DoRothEA
KDM5C	336	DoRothEA
KDM5D	64	DoRothEA
KLF1	1298	DoRothEA
KLF10	119	DoRothEA
KLF11	231	DoRothEA
KLF12	1080	DoRothEA
KLF13	1140	DoRothEA
KLF14	365	DoRothEA
KLF15	706	DoRothEA
KLF16	804	DoRothEA
KLF2	236	DoRothEA
KLF3	953	DoRothEA
KLF4	1256	DoRothEA
KLF5	1496	DoRothEA
KLF6	982	DoRothEA
KLF7	385	DoRothEA
KLF8	750	DoRothEA
KLF9	1583	DoRothEA
KMT2A	1095	DoRothEA
KMT2B	794	DoRothEA
L3MBTL1	677	DoRothEA
LBX1	419	DoRothEA
LBX2	403	DoRothEA
LEF1	1548	DoRothEA
LHX1	139	DoRothEA
LHX2	912	DoRothEA
LHX3	574	DoRothEA
LHX4	380	DoRothEA
LHX6	556	DoRothEA
LHX8	211	DoRothEA
LHX9	426	DoRothEA
LMX1A	159	DoRothEA
LMX1B	300	DoRothEA
LRRFIP1	652	DoRothEA
LRRFIP2	266	DoRothEA
LYAR	1022	DoRothEA
LYL1	1689	DoRothEA
MAF	1284	DoRothEA
MAFA	28	DoRothEA
MAFB	1586	DoRothEA
MAFF	1262	DoRothEA
MAFG	1353	DoRothEA
MAFK	1441	DoRothEA
MAX	1526	DoRothEA
MAZ	1451	DoRothEA
MBD1	1407	DoRothEA
MECOM	922	DoRothEA
MEF2A	1734	DoRothEA
MEF2B	1483	DoRothEA
MEF2C	1452	DoRothEA
MEF2D	1100	DoRothEA
MEIS1	1460	DoRothEA
MEIS2	1639	DoRothEA
MEIS3	1099	DoRothEA
MEOX1	620	DoRothEA
MEOX2	1062	DoRothEA
MESP1	508	DoRothEA
MGA	882	DoRothEA
MIER1	1215	DoRothEA
MIER2	610	DoRothEA
MIER3	484	DoRothEA
MITF	6933	DoRothEA
MIXL1	401	DoRothEA
MKX	192	DoRothEA
MLX	1364	DoRothEA
MLXIP	750	DoRothEA
MLXIPL	417	DoRothEA
MNT	1058	DoRothEA
MNX1	525	DoRothEA
MSC	828	DoRothEA
MSX1	704	DoRothEA
MSX2	431	DoRothEA
MTA1	1234	DoRothEA
MTA2	1473	DoRothEA
MTA3	1162	DoRothEA
MTF1	1432	DoRothEA
MXD1	462	DoRothEA
MXD3	495	DoRothEA
MXD4	607	DoRothEA
MXI1	1548	DoRothEA
MYB	1584	DoRothEA
MYBL1	460	DoRothEA
MYBL2	1198	DoRothEA
MYC	2152	DoRothEA
MYCL	405	DoRothEA
MYCN	1075	DoRothEA
MYF5	1	DoRothEA
MYF6	741	DoRothEA
MYNN	1075	DoRothEA
MYOD1	1508	DoRothEA
MYOG	877	DoRothEA
MYRF	282	DoRothEA
MYT1	264	DoRothEA
MYT1L	283	DoRothEA
MZF1	1028	DoRothEA
NANOG	892	DoRothEA
NCOA1	617	DoRothEA
NCOA2	990	DoRothEA
NCOA3	880	DoRothEA
NCOR1	952	DoRothEA
NCOR2	775	DoRothEA
NEUROD1	1209	DoRothEA
NEUROD2	797	DoRothEA
NEUROD6	324	DoRothEA
NEUROG1	361	DoRothEA
NEUROG2	329	DoRothEA
NEUROG3	5	DoRothEA
NFAT5	972	DoRothEA
NFATC1	1297	DoRothEA
NFATC2	935	DoRothEA
NFATC3	1430	DoRothEA
NFATC4	1183	DoRothEA
NFE2	1514	DoRothEA
NFE2L1	1512	DoRothEA
NFE2L2	1707	DoRothEA
NFE2L3	245	DoRothEA
NFIA	1410	DoRothEA
NFIB	332	DoRothEA
NFIC	1868	DoRothEA
NFIL3	699	DoRothEA
NFIX	1034	DoRothEA
NFKB1	2531	DoRothEA
NFKB2	1438	DoRothEA
NFKBIA	589	DoRothEA
NFKBIB	778	DoRothEA
NFKBID	493	DoRothEA
NFKBIE	651	DoRothEA
NFKBIL1	594	DoRothEA
NFKBIZ	290	DoRothEA
NFX1	625	DoRothEA
NFXL1	450	DoRothEA
NFYA	1428	DoRothEA
NFYB	1640	DoRothEA
NFYC	986	DoRothEA
NHLH1	593	DoRothEA
NHLH2	136	DoRothEA
NKX2-1	487	DoRothEA
NKX2-2	260	DoRothEA
NKX2-3	551	DoRothEA
NKX2-5	815	DoRothEA
NKX2-8	810	DoRothEA
NKX3-1	988	DoRothEA
NKX3-2	822	DoRothEA
NKX6-1	831	DoRothEA
NKX6-2	469	DoRothEA
NOBOX	544	DoRothEA
NONO	1407	DoRothEA
NOTO	360	DoRothEA
NPAS1	194	DoRothEA
NPAS2	562	DoRothEA
NPAS3	270	DoRothEA
NPAS4	350	DoRothEA
NR0B1	113	DoRothEA
NR0B2	172	DoRothEA
NR1D1	451	DoRothEA
NR1D2	103	DoRothEA
NR1H2	1117	DoRothEA
NR1H3	1176	DoRothEA
NR1H4	1041	DoRothEA
NR1I2	750	DoRothEA
NR1I3	450	DoRothEA
NR2C1	887	DoRothEA
NR2C2	1493	DoRothEA
NR2E1	546	DoRothEA
NR2E3	809	DoRothEA
NR2F1	1629	DoRothEA
NR2F2	1879	DoRothEA
NR2F6	1729	DoRothEA
NR3C1	1406	DoRothEA
NR3C2	871	DoRothEA
NR4A1	1269	DoRothEA
NR4A2	828	DoRothEA
NR4A3	141	DoRothEA
NR5A1	612	DoRothEA
NR5A2	1298	DoRothEA
NR6A1	622	DoRothEA
NRF1	1315	DoRothEA
NRL	799	DoRothEA
OLIG1	414	DoRothEA
OLIG2	873	DoRothEA
OLIG3	343	DoRothEA
ONECUT1	1134	DoRothEA
ONECUT2	444	DoRothEA
ONECUT3	429	DoRothEA
OSR1	272	DoRothEA
OSR2	524	DoRothEA
OTX1	484	DoRothEA
OTX2	1441	DoRothEA
OVOL1	834	DoRothEA
OVOL2	564	DoRothEA
PATZ1	692	DoRothEA
PAX1	409	DoRothEA
PAX2	611	DoRothEA
PAX3	237	DoRothEA
PAX4	214	DoRothEA
PAX5	1391	DoRothEA
PAX6	1292	DoRothEA
PAX7	177	DoRothEA
PAX8	504	DoRothEA
PAX9	470	DoRothEA
PBRM1	993	DoRothEA
PBX1	1343	DoRothEA
PBX2	1726	DoRothEA
PBX3	1471	DoRothEA
PBX4	469	DoRothEA
PDX1	1220	DoRothEA
PEG3	279	DoRothEA
PGR	1417	DoRothEA
PHF5A	1677	DoRothEA
PHOX2A	375	DoRothEA
PHOX2B	309	DoRothEA
PHTF1	576	DoRothEA
PHTF2	455	DoRothEA
PITX1	596	DoRothEA
PITX2	59	DoRothEA
PITX3	406	DoRothEA
PKNOX1	1345	DoRothEA
PKNOX2	636	DoRothEA
PLAG1	566	DoRothEA
PLAGL1	486	DoRothEA
PLAGL2	231	DoRothEA
POGZ	781	DoRothEA
POU1F1	811	DoRothEA
POU2F1	1550	DoRothEA
POU2F2	1466	DoRothEA
POU2F3	650	DoRothEA
POU3F1	908	DoRothEA
POU3F2	886	DoRothEA
POU3F3	623	DoRothEA
POU3F4	606	DoRothEA
POU4F1	398	DoRothEA
POU4F2	856	DoRothEA
POU4F3	397	DoRothEA
POU5F1	1377	DoRothEA
POU5F1B	395	DoRothEA
POU6F1	999	DoRothEA
POU6F2	424	DoRothEA
PPARA	916	DoRothEA
PPARD	490	DoRothEA
PPARG	1815	DoRothEA
PPP1R13L	617	DoRothEA
PRDM1	1556	DoRothEA
PRDM10	223	DoRothEA
PRDM14	4650	DoRothEA
PRDM15	387	DoRothEA
PRDM16	527	DoRothEA
PRDM2	340	DoRothEA
PRDM4	747	DoRothEA
PRDM5	506	DoRothEA
PRDM6	616	DoRothEA
PRDM8	350	DoRothEA
PROP1	338	DoRothEA
PROX1	932	DoRothEA
PROX2	129	DoRothEA
PRRX1	1025	DoRothEA
PRRX2	1439	DoRothEA
PSPC1	811	DoRothEA
PTF1A	403	DoRothEA
PURA	431	DoRothEA
PURB	430	DoRothEA
PURG	235	DoRothEA
RARA	1707	DoRothEA
RARB	645	DoRothEA
RARG	1659	DoRothEA
RAX	406	DoRothEA
RAX2	426	DoRothEA
RBAK	290	DoRothEA
RBPJ	1767	DoRothEA
RBPJL	201	DoRothEA
RC3H2	870	DoRothEA
RCOR1	1018	DoRothEA
RCOR2	326	DoRothEA
RCOR3	576	DoRothEA
REL	1169	DoRothEA
RELA	2050	DoRothEA
RELB	1512	DoRothEA
RERE	400	DoRothEA
REST	1430	DoRothEA
RFX1	954	DoRothEA
RFX2	654	DoRothEA
RFX3	743	DoRothEA
RFX4	350	DoRothEA
RFX5	1471	DoRothEA
RFX7	417	DoRothEA
RFX8	185	DoRothEA
RFXANK	1432	DoRothEA
